loading app allocation_app.py
loading app ryu.app.ofctl_rest
loading app ryu.controller.ofp_handler
instantiating app None of DPSet
creating context dpset
creating context wsgi
instantiating app allocation_app.py of SimpleMonitor13
instantiating app ryu.app.ofctl_rest of RestStatsApi
instantiating app ryu.controller.ofp_handler of OFPHandler
(18533) wsgi starting up on http://0.0.0.0:8080
>>> t=20.00 s; Pushed new meters: {1: 46088.437499999716, 2: 36527.99809957313, 3: 13977.19081455468, 4: 3406.373585872478}
>>> t=21.00 s; Pushed new meters: {1: 46088.437499999716, 2: 36527.99809957313, 3: 13977.19081455468, 4: 3406.373585872478}
>>> t=22.00 s; Pushed new meters: {1: 46088.437499999716, 2: 36527.99809957313, 3: 13977.19081455468, 4: 3406.373585872478}
>>> t=23.00 s; Pushed new meters: {1: 46088.437499999716, 2: 36527.99809957313, 3: 13977.19081455468, 4: 3406.373585872478}
>>> t=24.00 s; Pushed new meters: {1: 46088.437499999716, 2: 36527.99809957313, 3: 13977.19081455468, 4: 3406.373585872478}
>>> t=25.00 s; Pushed new meters: {1: 45680.67176005054, 2: 37083.36700567773, 3: 13948.190266334914, 4: 3287.7709679368204}
>>> t=26.00 s; Pushed new meters: {1: 45680.67176005054, 2: 37083.36700567773, 3: 13948.190266334914, 4: 3287.7709679368204}
>>> t=27.00 s; Pushed new meters: {1: 46249.56002750752, 2: 36673.58748401516, 3: 13837.905003009608, 4: 3238.9474854677146}
>>> t=28.00 s; Pushed new meters: {1: 46245.20021099842, 2: 36664.810277123, 3: 13852.030552697368, 4: 3237.9589591812232}
>>> t=29.00 s; Pushed new meters: {1: 46245.20021099842, 2: 36664.810277123, 3: 13852.030552697368, 4: 3237.9589591812232}
>>> t=30.00 s; Pushed new meters: {1: 46245.20021099842, 2: 36664.810277123, 3: 13852.030552697368, 4: 3237.9589591812232}
packet in 4 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 3
packet in 4 00:00:00:00:00:34 ff:ff:ff:ff:ff:ff 4
packet in 3 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 2
packet in 3 00:00:00:00:00:34 ff:ff:ff:ff:ff:ff 2
packet in 2 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 2
packet in 2 00:00:00:00:00:34 ff:ff:ff:ff:ff:ff 2
packet in 1 00:00:00:00:00:33 ff:ff:ff:ff:ff:ff 5
packet in 1 00:00:00:00:00:34 ff:ff:ff:ff:ff:ff 5
>>> t=31.00 s; Pushed new meters: {1: 46245.20021099842, 2: 36664.810277123, 3: 13852.030552697368, 4: 3237.9589591812232}
>>> t=32.00 s; Pushed new meters: {1: 46245.20021099842, 2: 36664.810277123, 3: 13852.030552697368, 4: 3237.9589591812232}
>>> t=33.00 s; Pushed new meters: {1: 46245.20021099842, 2: 36664.810277123, 3: 13852.030552697368, 4: 3237.9589591812232}
>>> t=34.00 s; Pushed new meters: {1: 48421.07625099842, 2: 36755.473127123, 3: 14823.483002697369, 4: 0}
>>> t=35.00 s; Pushed new meters: {1: 50243.29712099842, 2: 34201.12499998583, 3: 15555.610262697368, 4: 0}
>>> t=36.00 s; Pushed new meters: {1: 50608.99442689694, 2: 27557.82083215398, 3: 16706.584237832863, 4: 5126.632886797831}
>>> t=37.00 s; Pushed new meters: {1: 50453.236910684354, 2: 27272.580123671327, 3: 17186.951438940454, 4: 5087.26391038548}
